phone_normalized,wdc_subject_count,sample_values,sample_subjects
0525892755,19,052-589-2755,_:ndf653942bc584a968a9ed2a22fb16654xb0 | _:nab86714016e7486daaa150a4d373a302xb0 | _:ncb54d1ad287a4022888da920712915d7xb0 | _:n086191b63a80451b8ddfe479b285edbfxb0 | _:n7411ee0e363c46a68eca60522d90b915xb0
18003425864,19,1-800-342-5864,_:nc88eafa9deeb42fb9eca6a1bc5437174xb0 | _:n71aff6c52f374a13a5678da601080b15xb0 | _:n02ff4d525c294f339f872bb4d9e208d2xb0 | _:n1db4d56652644c8db0fbcbcdb21bd5e2xb0 | _:nd73184f76a654f0c96340786925d9808xb0
5087937373,19,508-793-7373,_:n85084a6765d24492be37f72df7d04f6cxb0 | _:nf2997295a8234b7a9aae17d7afe377f5xb3 | _:nf7964df5eba5454d9fa9b5134c637c57xb3 | _:n6d5736dee925452f9aa3361c60b644b5xb0 | _:n7cd55d398e424fbd9b60a9cb8d54edf0xb0
8132855281,19,(813) 285-5281,<http://lji.sunmuhendislik.com/tampa> | <http://nqfqrd.cdqrjd.com/tampa> | <https://www.herzing.edu/tampa> | <http://altruistically.ccnmaster.com/tampa> | <http://rnrwgn.yuzhangdaba.com/tampa>
+17349360671,18,+17349360671,<https://stamps.umich.edu/about/visiting/$SITE_URL#identity> | <https://stamps.umich.edu/courses/$SITE_URL#identity> | <https://stamps.umich.edu/events/$SITE_URL#identity> | <https://stamps.umich.edu/$SITE_URL#identity> | <https://stamps.umich.edu/facilities/$SITE_URL#identity>
+912027120077,18,+91 20-27120077,_:n8b4f090f339a4a41b8869387c6cff48bxb0 | _:n9b4469b6e14742759766b192f04d0ac2xb0 | _:na975b96bd5b24f4886f286693737b83bxb0 | _:n5b7dfd798d2048d6aead9278303f3956xb0 | _:n151e8c6103c64fc3b6ed58743ee618faxb0
+982191077725,18,+982191077725,_:n21c29bb671ed4995975922854f970dfexb0 | _:n073ca8a579544cf4b82fcb6103e9c1d5xb0 | _:n964d03984e4b48c1bf3c7fbb3190db18xb0 | _:n95fd87763b9546dab805f6181f3df2efxb0 | _:n2abd20c49c1a44cf952ae516bb508892xb0
18554285673,18,1-855-428-5673,<http://rwlocx.foodartorial.com/#collegeoruniversity> | <http://www.gcu\u90E8\u4EF6.edu/#collegeoruniversity> | _:n4d189b8db2634a1c95dc514b60531ca9xb0 | <http://zpmaec.91src.com/#collegeoruniversity> | _:n78dda0291e8c464b89009fa312667d77xb0
2022433555,18,Phone: 202-243-3555,_:node1ife8pp21x13414155 | _:node1ifec7nndx3628220 | _:node1ife672m9x21345236 | _:node1ifec3tllx1162358 | _:node1ifec7p6kx5975122
2023195282,18,202-319-5282,_:n6cf515310fb84ed69dece9aeb7809539xb0 | _:nd63135d892ed4aa9b20de6743a9367f5xb0 | _:n3167d24603c64ffd8a25df6837dbdc2bxb0 | _:na6d87d2b5aff42d0a0c5930b1083871cxb0 | _:n26e5dd98d7c040988c44a08a38d6f009xb0
2026872242,18,\n      Phone number\n      P.\n      202-687-2242\n    ,_:node1ifgc6quax4096770 | _:node1ifgc6quax4096773 | _:node1ifg8a9sgx6395906 | _:node1ifg8a9sgx6395909 | _:node1ifg586n2x8707730
2026876493,18,Phone: 202-687-6493,_:node1ifdi82tjx5372943 | _:node1ifdn15i8x2913244 | _:node1ifd4ps0rx40204792 | _:node1ifdi85h4x5352931 | _:node1ifd0tb8tx50012043
2026876575,18,Phone: 202-687-6575,_:node1ifdq5oh1x157974 | _:node1ifdmh2e1x9819789 | _:node1ifdq6m7qx160698 | _:node1ifdq5pdmx157547 | _:node1ifdhe09ex10161934
2026876622,18,Phone: 202-687-6622,_:node1iff46skdx25919183 | _:node1iff6qlbgx18427512 | _:node1iff9o86tx1270643 | _:node1iff48e6fx13384163 | _:node1iffa39d1x1222182
2026877491,18,Phone: 202-687-7491,_:node1ifdi8b27x2815215 | _:node1ifdgoahex7635286 | _:node1ifdhebsdx5260690 | _:node1ifdmh5i4x7794728 | _:node1ifdgf3r3x8324052
8668255426,18,(866) 825-5426 | 866-825-5426,<http://dcdhox.b7bys.com/campus-locations/phoenix> | <http://dcdhox.b7bys.com/online-programs> | <http://www.0786cj.com/campus-locations/phoenix> | <http://qggnsb.espoirholic.com/campus-locations/phoenix> | <http://qggnsb.espoirholic.com/online-programs>
961924950,18,961 924 950,_:n94f7335d13b447ba960fc14063b722f0xb0 | _:nc6061a16503d40459d8a260e2c6d32b2xb0 | _:nb1e877ae4517464ea3c8124bfa2dbe12xb0 | _:n31d37a341cbb4d4dbb208396d9228c27xb0 | _:nf76501b117f947c593b221e50314dd86xb0
9890001164,18,9890001164,_:n98c4ceecd962426381fe6227c571a26fxb0 | _:nc15b29be0d874c389fc2a8906989c563xb0 | _:na76f0e37134b46a2b8041a20a66a6f8bxb0 | _:n8d98b9afe0db45608c55e606f0dfd8e1xb0 | _:n72bf008ec5e74bd59b2173b608ab7d8exb0
+4943318450,17,+4943318450,_:node1iff0ab33x21598678 | _:node1ifd32ihsx6916287 | _:node1iffc2or1x1826534 | _:node1iffb9k3tx9402882 | _:node1iff9io9cx6700955
0016135333208,17,001 (613) 533-3208,_:n3e6af3ab611441fdae5facec45366fdexb0 | _:n54a22aab9ea34d6296f1946660638188xb3 | _:n2699478f2a7b439cbd65f92acf5b85a8xb0 | _:n3de569dce9b7487b8751f5b114ef7760xb0 | _:n2b8c6f2569944f01857f97138229816fxb0
01140526889,17,011 40526889,_:n65322fd40b834cafab3a8cf6dc0d104fxb3 | _:n5a6ce8d85b5f49bba59d938abbfed306xb3 | _:n7cbef2fd166845f8a3f208debf256004xb3 | _:n880b584f12334d0a8b4906e5467f01c9xb0 | _:n5373f7bb47e34c7db8be8bbda783b0e7xb0
01874221463221464,17,"01874-221463, 221464 | 01874-221463,221464",_:n88ad6928e17c4e48817f8fdd63efc1eaxb0 | _:n46ec6361e24e41e5a7af68612ad506bdxb0 | _:nebb36146743a4aaab92de96d4265c4b7xb2 | _:na7008d8f027d49b59749ac6c479f9ee7xb2 | _:n8c65e80c769745b09d5aff897437d874xb2
2026871225,17,Phone: 202-687-1225,_:node1ifdi7vcjx6211978 | _:node1ifdi87opx6142542 | _:node1ifdmti16x1220574 | _:node1ifd0kc3vx54825937 | _:node1ifdfuh50x11126109
2026872927,17,Phone: 202-687-2927,_:node1ifeh2t9px5077039 | _:node1ifekjgkrx165722 | _:node1ife7vpunx45274785 | _:node1ifeetri3x15041906 | _:node1ife7vpunx35495849
2026875367,17,Phone: 202-687-5367,_:node1ifd4ps0rx33324311 | _:node1ifdbnakpx5938292 | _:node1ifdbn7obx3447637 | _:node1ifd4ptf1x33023094 | _:node1ifdbn272x5748173
5035542260,17,503-554-2260,_:node1ifencfbkx9078908 | _:node1ifencembx9081580 | _:node1ifeg9fjkx29165979 | _:node1ifelptk2x14264751 | _:node1ifernranx1653579
6048222848,17,604 822 2848,_:nb8ce43d12d9e4a94b64d91af34658b84xb0 | _:nb51119e7aae74ee3979fc8f3c37ade1cxb3 | _:nb6d648ae2b2747a2bbed5e3dc6a8d2c6xb3 | _:n8e99d6a96ce245b19708d67f33093444xb0 | _:nd064ac3ea4294ac5b85ba25350350d7dxb3
6072555241,17,607.255.5241,_:nd2e7ec5d88814d8e990e13361efae48exb0 | _:n601ce40911a14509a1d1abf96abe05d7xb3 | _:n886212016f064d0281a0b39fa802e2bdxb3 | _:n662c0e46b4aa4cd1a8c3178853bb9e6dxb0 | _:n06c034b3ac9646a1bcd81d3b3655a6b7xb0
6184532121,17,Phone: (618) 453-2121 | (618) 453-2121,_:node1ife5c68vx7446067 | _:node1ifd8tjd5x7588672 | _:node1ifdq5fm4x21854814 | _:node1ifdse5s8x12442086 | _:node1ifdn1sehx27068572
7035225600,17, (703) 522-5600 | (703) 522-5600,_:node1ife7707hx3244553 | _:node1ife7707hx3244555 | _:node1ife7707hx3244557 | _:node1ife7707hx3244559 | _:node1ife7707hx3244561
+351253802266,16,(+351) 253 802 266,_:node1iff53lbax17641557 | _:node1iff9ihb7x3031692 | _:node1iffb9k3tx18002326 | _:node1iff8sop0x5575254 | _:node1iff9iqt6x5402305
+6498154302,16,+64 9 815 4302,_:n169c588584f84e45b8cfa3b96f52e0b6xb0 | _:nd3827048b34b4778b96f4fdad872b2a3xb0 | _:n1331f6bf304f4dc9ad4ecb6d0083465exb0 | _:n7243c42e17264d55ba8d27dbe5cd29f1xb0 | _:nb7d69605a46e44aeb594632254b177ebxb0
+918028567958,16,+91 8028567958,_:n8fb0be9a16354a2fa1af0e1246fa1905xb0 | _:ncac33c09646b4626a001ff161cac2ebbxb0 | _:n8c28799a7dd943bdbbdb2686799ae2cbxb0 | _:n3dcf087953a345f69d0e3e550011241exb0 | _:n7739da7e479248269192e8fd25dc9ce9xb0
01204933350,16,0120-4933350,_:n7289d77347a643ffb28af89bc273833dxb2 | _:n57b989d113a04be49e30d0996b8f78a1xb2 | _:ne077d90a54b746d2b566b21de7334fc6xb2 | _:n52e3a62fe8614c05b2bcd1025055afe3xb2 | _:ndc3cb2e944c043dfb3695b5fec9271a7xb2
01273606755,16,01273 606755,_:n858c24e98895460c88557ffeedbca748xb0 | _:n7750167e26434b3481ff2c3065632813xb0 | _:ne2c30a54c8d14ecfa5297bf667074a45xb0 | _:n3e4f79a04f9744e9bda7a508884eadaaxb0 | _:n8f9b71a4971d49eba33845ed96ba50b2xb0
1800,16,1-800-CULINARY,_:n10e3126583e746e98220e84cea3a07ddxb0 | _:nad951800b8b0451e92580dfd0230a82axb0 | _:na03093f68695481d8f4c7c9525be363bxb0 | _:nbb62de8a487d47b9b38ab6ab635481cfxb0 | _:n2c5e370bb983444d92bc559c9481454fxb0
2026874056,16,Phone: 202-687-4056,_:node1iff48e6fx1360336 | _:node1iff53p5ax1370475 | _:node1iff0qn4px3794757 | _:node1iff0ab33x13739195 | _:node1ifed77imx56666930
2026876214,16,Phone: 202-687-6214,_:node1ifd7jtthx10790754 | _:node1ifded7vkx3432838 | _:node1ifd0kpegx30924157 | _:node1ifd7qqk1x10511513 | _:node1ifd0kd5hx28079982
2026879185,16,Phone: 202-687-9185,_:node1ife77cejx3281479 | _:node1ifdvcpbmx32819691 | _:node1ife8pg95x5640978 | _:node1ife77563x3279102 | _:node1ife772g1x3172018
5197485220,16,519-748-5220,_:n36dac8233f2d49218b25c76f9c60068exb0 | _:nc942f01f7bfe44d9ba09cb1742160493xb0 | _:n276a0123af8d4a20b71fe575a03573acxb0 | _:ndc51ed04961f4683839cbf01edcc603bxb0 | _:n99ab8f7789d2482280a5c73d4bb5b41fxb3
5709632500,16,570-963-2500,_:nc42de0ea9eff497e8f5df655afd2a169xb0 | _:ne381f98c151f487ead10235c35869917xb0 | _:nf191e086be91452a8e09bc2dc4b5e993xb0 | _:nda168eb89e32455daaf84f5dcd5a763dxb0 | _:n967c33f260f0403c9a8a556b8ca44558xb0
7133484179,16,713-348-4179,_:n5eda223b8bf64c359aa7ea83fbc1e186xb0 | _:nd39db5160fc34207bc89f629c48027d4xb0 | _:na2d4514b66794834929381cd294c9d8dxb0 | _:n5ad5c57adaec437285283519d70c8c09xb0 | _:n36d7558b2f3f4651b73358e8adba3677xb0
8449463714,16,844-946-3714,_:ne44ec023dbdf46dfb90b4996e13d0f70xb6 | _:n1d21d9a1f371419c96ec8d8e8957f6f1xb6 | _:n56e5122ca7ab440589525982cd72df1fxb6 | _:n42d170fced6e49f9a53a43b8f3ebbbd0xb6 | _:n189bdb87fa594b1dba52d426d20a6ce3xb6
8454529600,16,845-452-9600,_:n10e3126583e746e98220e84cea3a07ddxb0 | _:nad951800b8b0451e92580dfd0230a82axb0 | _:na03093f68695481d8f4c7c9525be363bxb0 | _:nbb62de8a487d47b9b38ab6ab635481cfxb0 | _:n2c5e370bb983444d92bc559c9481454fxb0
9704916220,16,970-491-6220,_:ncaa44a49720f40f38d66f719bcf4478cxb0 | _:n00185e8a44154c9b82046f96845e959bxb0 | _:n698ba925ac7846f78cc3ceb975236d61xb0 | _:n0db7d65c33044a3a8c994a6f420b03d9xb0 | _:n9fc201c3f459410d8b9293f11bbf952bxb0
0116410865,15,011-641-0865,_:n3c977e47ec6f48548a17bf1288b7d459xb0 | _:ndfe83a0f3c894c1e90e71febea15affexb0 | _:n3becb57f30d24ae8a79e679ceccf0f01xb0 | _:nb46d7eda1937481381ab9a0739d01f14xb0 | _:nc93fd796861f4f59aac11c3972ce5417xb0
0162327511,15,0162-32-7511,_:n1bff2718049040ba9383428f919d7991xb0 | _:n8c1f91b61f37444991e4b6f1b75d4c59xb0 | _:na8f8274dc3cf4c968e67707ccd6aee74xb0 | _:n6cdf1cecf59740378fe0d22deddb6c65xb0 | _:na70eb7a495004808b99be75813434ac1xb0
0358426878,15,03-5842-6878,_:ne8152ea2fbed490c83f7b51d7e4a5ca2xb0 | _:n0f53d8c2a4504a52b4ac022bcd6e25f2xb0 | _:nfd445f71debd4bc09ebd0a0291c4eeb7xb0 | _:n16f02efd2c7849649d0f263d99250d55xb0 | _:n4be6c31cc36b4c36aa039ba2b819f65dxb0
0929434174,15,092-943-4174,_:n86f8587b14164085806bcbb512a6d2daxb0 | _:n021e98e7fa2e44bb9c89a73f0ee6b537xb0 | _:n0a613a72ac56489abe53c5a094851de7xb0 | _:n9901aa56b85b4d9b8e940345727eea2bxb0 | _:nf66256a2260a46b1982ab732e3c6dbd4xb0
2026870390,15,Phone: 202-687-0390,_:node1ifdbjul8x18042598 | _:node1ifd0tb8tx35451840 | _:node1ifd90tb5x15637795 | _:node1ifdbnakpx18160426 | _:node1ifdhe8a6x3103278
2026871093,15,Phone: 202-687-1093,_:node1ifd0rac8x20326925 | _:node1ifd45rbax13063533 | _:node1ifd4q3rfx10463794 | _:node1ifd4pq0fx20262702 | _:node1ifd4pq0fx20262783
3096773333,15,309-677-3333,_:n660df924b1f444a6b7ecd4c4196dca63xb3 | _:n295c8afa3adc484999faf20f82e4a819xb3 | _:nfc0a0251e2764b88b1815c91afaa417cxb3 | _:ncc2acb09ffef41a6a5e963a14e36ca9fxb3 | _:n61b23a32dc694c41a4eb68b1668c2233xb3
5035546100,15,503-554-6100,_:node1ifefhh10x31403064 | _:node1ifepna6fx9139886 | _:node1ifefavmvx36552473 | _:node1ifenc86nx9674933 | _:node1ifenc54px16485412
6173246730,15,617-324-6730,_:n4bc090ba42fe4b18a78dd644e6d5200bxb3 | _:n8daea9b0956e491cab2aa3c8885dac8fxb0 | _:n1aa0dc23f16a461a854db29159e0fdeexb0 | _:n40ec9794fd9d4d4598c407d766e43dfaxb0 | _:nfefd390f07b6473b9cda8e99ce8f3f8dxb0
+441463279000,14,+44 (1463) 279 000 | +44 1463 279000,_:n2315a2831da2416f98b1a312587c1e5bxb0 | _:node1iffukbkdx9725068 | _:node1ifelq264x54842139 | _:nb0bd338044b1451db85227e9325ffc46xb0 | _:node1iferln98x2353221
01135016514,14,01135016514,_:n2a334b49af3147df9fbbb29ea91eded8xb0 | _:n3cc459a8337b44a3b8c89d38ac3fe965xb0 | _:n52999910ac8b4f2291f5326a6b041230xb3 | _:ncc756df390ff4ee4943c5a03654c16e9xb3 | _:nfd7837baf38e4d9e95715a6620501e11xb3
0406550555,14,0406550555,_:nbbf9aaf5326e46e593e553676c13f8aaxb0 | _:ndd393655d67141a1a497525da68f62aexb0 | _:na3d4b0f7a087459ab5eaecc5c129b015xb0 | _:n3fba777757fc424bb6a185dca5a4a970xb0 | _:n22c70599fd7440c2b919a4cd72d576a1xb0
041322982882912111229828322960022272901,14,"0413-2298288,2912111,2298283,2296002,2272901",_:n393a62f0ab684b0292eb2aa742afdc7bxb2 | _:n01e8c76657304c45b148c357d6335b03xb2 | _:n85f74334b4dd4442a688574c96b92b96xb0 | _:n35a5dccd94ec4462aab765213a25226axb0 | _:ne3d3474cc04941c59e8d5139a0cfb244xb0
066324034132000492,14,"0663-2403413,2000492",_:nda431774afb445c48027d7c3ea243f49xb2 | _:n9caf86c8b36d4db59d1c152e75171231xb0 | _:nd4573e34f5734dad966e439fcd824fe7xb2 | _:n0f3d2f0d95a54f5086d81372a108ff84xb2 | _:ncc6a3ad0bb9340d7b76a070d61a9eccfxb0
18004,14,1-800-4DEPAUL,_:n45526c18956f49218fa8e22458d76232xb3 | _:n9338de4e52774323aba4eb44868fc7f0xb3 | _:n469599ceac9b4d9f8150b5d63e0b724fxb5 | _:n2db40bdcd5dc4586a758dbc96e04d68dxb5 | _:n979e823cec3a44069b078a1e4e56d593xb5
2026870217,14,\n      Phone number\n      P.\n      202-687-0217\n    ,_:node1iff0qr8ax18768798 | _:node1iff0qr8ax18768802 | _:node1iff1n1ibx16099125 | _:node1iff1n1ibx16099128 | _:node1iff0qve8x9532213
2026872839,14,\n      Phone number\n      P.\n      202-687-2839\n    ,_:node1ifdmhaasx6175300 | _:node1ifdmhaasx6175303 | _:node1ifdmt6cox3802792 | _:node1ifdmt6cox3802795 | _:node1ifdi8a9ix6220038
2026873906,14,Phone: 202-687-3906,_:node1iffm97c3x3051891 | _:node1iffqpvufx721072 | _:node1iffm9eefx5532510 | _:node1iffu9m98x3000259 | _:node1ifflg06qx15774069
2026874547,14,Phone: 202-687-4547,_:node1ifef1fl1x15291418 | _:node1ifei8bs1x5680309 | _:node1ifenccmcx1246140 | _:node1ifeepm5jx25476651 | _:node1ife776jmx33415857
2026878842,14,Phone: 202-687-8842,_:node1ifg8384dx6087739 | _:node1iffv5h0hx11197489 | _:node1ifg57rg9x8239231 | _:node1ifg9d3fux5919057 | _:node1iffutp1dx23758202
4107726686,14,\n      Phone number\n      P.\n      410-772-6686\n    ,_:node1ifeh2t9px1208065 | _:node1ifeh2t9px1208068 | _:node1ife8p8d5x23705142 | _:node1ife8p8d5x23705145 | _:node1ifeh9fipx1138748
963748552,14,963 74 85 52,_:node1ifd6t6h2x9676726 | _:node1ifd0kjmox24708920 | _:node1ifd0k4p8x27126436 | _:node1ifd6t6h2x9676753 | _:node1ifd0kmplx27446886
+4402477654960,13,+44 (0)24 7765 4960,_:n51dc5c75e5e64795b32cef5da82a40c5xb0 | _:n0b34d0748dae4b50a183bdf463fff7bdxb0 | _:nc3f50f2521f94266919a07e1ce879291xb0 | _:n94206b4848d44652b63ad8e364375992xb0 | _:n15af69b3fded4db9aedec750dc1715e8xb0
+441494522141,13,+441494522141 | +44 (1494) 522 141 | +44 1494 522141,_:n5235e00cbfd3427586244c42925bcb22xb0 | _:nd19b943cf2d442f3b9f2efb0c1895755xb0 | _:node1ifdn1j4hx7310073 | _:node1iff1n039x34459119 | _:node1ifd0k4p8x15006327
+525511020250,13,+52 5511020250,_:n971731bfe5534852afc97d19ed5224dcxb0 | _:n972aa12e551f4bd3a28b5e7c0227e3faxb0 | _:n8298e7ce56c142a6b0ad6eca8bdc6ab1xb0 | _:n3598ee22fda94fd9ab47b9dc71024c8fxb0 | _:n117808bc4a3f4caeb06587b63495bbd1xb0
+6463505701,13,+64 6 350 5701,_:n33850741593a4aa8af16ce70acad017bxb0 | _:nc5486e1c1c5d4cb79bbef0f662235ae7xb0 | _:n73bb5ac269714cacb2f2f045fc78b54exb0 | _:n3d80f1db9f4b4e97b8223a22395d616fxb0 | _:na8189a0a0d3442b8b0a57f2d56720281xb0
+917022016739,13,+91-7022016739 | +91-7022016739‬,_:n08868a8ac4074250bbc44e25f772fccdxb0 | _:nd6baee253f8147b494b4a787c55f676axb0 | _:nda58424091c94a73a9a8e48ac9a47629xb0 | _:n58bf63b765ef4c9f898d9ca1b05e6cb0xb0 | _:nd00950f20b5849d2bd766760457acf85xb0
+918645985555,13,+918645985555,_:n84f0cebfb6574eb584748e16daa70a33xb0 | _:n52abf40c25d146e8acf12524393834d3xb0 | _:n89a14b97608a491b904addfa5e380912xb0 | _:n554d1a44bc964753bcc5a3c0eaeb1037xb0 | _:n5f803ed04df6456c9aa186cd6162f929xb0
0015143984349,13,001- 514-398-4349,_:nc4c611c98c7b4be8baf3af8606a995e3xb3 | _:n54e4eb8dbe0843a4bf5bab8131805abaxb0 | _:n79a106df5ba140f592486f20b48837b0xb0 | _:n150ae30433cc4845865a67361756cd01xb0 | _:n7b43fd9522b44d28af3509b532170c09xb0
0452764632,13,045-276-4632,_:n02b178adf8944b5785995a9b20d73523xb0 | _:nc65343b48a6e4e5e9dada8c1482b0565xb0 | _:n1f00c3b020374ea488e879ce0e00740bxb0 | _:nd4a7c26accc84264aab07f5d9679eb23xb0 | _:n9424dfc0fd074c28b07db96871244560xb0
087025525552555055,13,"0870-2552555,2555055",_:nb4e46078cb114e8caed071ac8ab6f6e2xb0 | _:nbd1b78c2646247c6b6fbc0765c5c4fe6xb2 | _:n6f7f596b2cbd4a4383d2ad835e4007bdxb0 | _:n403ce83ca9374eff83e1fe0544d9343cxb2 | _:n89994046f8fa4e628b99c179121c724dxb0
2026875956,13,Phone: 202-687-5956,_:node1ifdq5sh3x23111769 | _:node1ifdn1j4hx30455751 | _:node1ifdt3v4gx15804024 | _:node1ife4fukcx960732 | _:node1ife2l669x3272937
2026878807,13,Phone: 202-687-8807,_:node1ifenc36ix6716679 | _:node1ifed7dhsx31928264 | _:node1ifencck0x4080435 | _:node1ifed7udcx32116470 | _:node1ifepn97hx4093084
3309727966,13,330-972-7966,_:n134899307dff419c882d5482dc795532xb0 | _:n0e34fc11e04e44a5b5e8fb9ae0447557xb0 | _:n765eb3d4261b4e778e2c67a40c435e9dxb0 | _:na64185875fd0423a8a9cd2d275943d53xb0 | _:n842d9283d68240f78d95008771e3368fxb0
4169786614,13,416-978-6614,_:n3b31de1b35ae4d80b2f19e554c5115efxb0 | _:nfd7c7a1a3c7f4c629c4263d4af9c5458xb0 | _:ne31098e339e14862938b6e93479bf6dcxb0 | _:n39bb2b06535c4c39a035409747fc530dxb0 | _:n5ad32d76bde8484ebaee07c78ced98e6xb0
7406644449,13,7406644449,_:ne79f896560854d0fa81deac7718abfe1xb3 | _:nc0dc265007244b9999f4d38adf1225d0xb3 | _:n916c67545b0b445d983c067f4162679dxb3 | _:n5643da0f4f454388b5f70b7f3d9f76cfxb3 | _:nb91fa1b0040643b79a016927703581e9xb3
+16135202400,12,+1 613-520-2400,_:nd07cede3453c4899b3d1579b7a417846xb0 | _:nabd923adbbc7445ebd07fa7a85e901a6xb0 | _:nf97e7665c57f4a7caa6b62476cbd64dexb0 | _:n17381cdf2ae4485287fccf8cd6c1aa5exb0 | _:nc92d6a5bae4d4fb08a4d95bb6b35749bxb0
+18777515783,12,+1-877-751-5783,_:n04f8b545f6dc45c48adcb9decb3d77f0xb0 | _:n9e7189c80f5342f480ddbae63b267e08xb0 | _:n4f701927e4f24668a374b361cd7c45bdxb0 | _:nc6ab169a8a3649beabab38fd08d3078axb0 | _:nccfd283b3ae5418381d90e6d2bbfc691xb0
+35318962614,12,+ 353 1 896 2614,_:n93cb4d96f78446ae981f2e0e849b954dxb0 | _:n7fa47d4731e54908a77a376f37e74e39xb0 | _:n4043a7b29e654678ac80e102fa00cc28xb0 | _:nbcdc444b11e6418a8244c2557b45d5f3xb0 | _:n9a48bc6e7c8c4f9392815be23d2e5118xb0
+4402031088528,12, +44 (0)20 3108 8528,_:naae2909fd9394c9f8caad55e1cc64bd8xb0 | _:n92eca04efc5244bca2c0632e6708f4d4xb0 | _:n5a8eb464736c4fd5923403ce7a745fd7xb3 | _:n373b5758a56b4cbdb4985cb1a6957f23xb3 | _:n17d3fbfe06b947998054070b2ca1193fxb3
+917418314443,12,+91 74183 14443,_:n182932a92bb64a68bb8c7dea207f06b7xb0 | _:n1742f592e2b341fabdb3cf408f7ecbd7xb0 | _:nc9f9ffb52f4b474f88d8ffe79dad1a2exb0 | _:ne4b95fe03c1946199837196d8e138b2fxb0 | _:n58c766fc788a47c0b3b1bfb29ed39183xb0
+919840196636,12,+919840196636,_:ndc7cec36866d4ccdbe1ea14466d6079bxb3 | _:nfb5c6e2233cf48d1b55864116ab4870cxb0 | _:n6655f9c2127945ea9bde3ac146cf1425xb0 | _:n45176721f2054e648f9c1fa19a6764d9xb0 | _:n840b737470ca4caf840cf96f2fba1fb9xb0
0468581500,12,0468-58-1500,_:n5c3ead0f2fc64412ab1ad0021fdb6ef1xb0 | _:n92cf8d95d73243cd87b84e14621d57aaxb0 | _:n0d468fdc4d414d248d04f9072ab1c5b0xb0 | _:nd9b5409b5e49416d8f8de360a3e9a6d9xb0 | _:ncb84289a9e7c4b4caea3945712fbeeaexb0
08066487600,12,080-66487600,_:nbf80e6ac6e364aca85d9ee8a3516e0bfxb0 | _:nc163ea6c10da4b5d982502d0d137e0b0xb0 | _:n70d244b1425846bb87143fef36a971bfxb0 | _:n2c9d3fb0353e4363bd8dfdb02d594781xb0 | _:nc50ec58048024fcfb85a63ce8b7bc4a7xb2
18008332288,12,18008332288,_:n0e0c1f99368d41848cf040b7c6440398xb2 | _:n7ad7eb1173374aa1b724fc627f020fb2xb2 | _:nb1221d598f534b7ba6f42cb1c657ba37xb2 | _:n8b31d19607384df1bc53ec202f7ecf72xb0 | _:ndc1d18ca65624e0db89b1bacb6467da2xb0
2025263799,12,202-526-3799,<https://humanumreview.com/www.johnpaulii.edu#identity> | <https://humanumreview.com/artefact/www.johnpaulii.edu#identity> | <https://humanumreview.com/articles/www.johnpaulii.edu#identity> | <https://humanumreview.com/contributors/www.johnpaulii.edu#identity> | <https://humanumreview.com/issues/www.johnpaulii.edu#identity>
2026873912,12,Phone: 202-687-3912,_:node1ifd0kgfbx8547680 | _:node1ifd0kci1x11046407 | _:node1ifd32ihsx3584534 | _:node1ifd3s7pkx1076068 | _:node1ifd0ur5hx8798396
2026878015,12,\n      Phone number\n      P.\n      202-687-8015\n    ,_:node1iff0r15cx67241921 | _:node1iff0r15cx67241924 | _:node1ife4ggo5x7572119 | _:node1ife4ggo5x7572123 | _:node1ife5bsdlx5413978
4057665490,12,405-766-5490,_:n255fb17ef5a44290b42e17a18a5eee0bxb3 | _:n5cf52216edc34645a9e01c06b1b509c5xb4 | _:nbfb1df671c7e45cba60245f2674e526dxb3 | _:n84f0447024454659ace1c146bddac57axb3 | _:nf4a59b47bb61413b95a8a00a62937d12xb5
8003456948,12,800-345-6948,_:n499ff900c0504fa2b1a0a8cd1583f845xb3 | _:n17dbaa67dd454aec9cb84881ae275b30xb5 | _:n5890bb6de8074859b44b7b83b836bfabxb5 | _:n000a5f1674b34664943b8110a85b1838xb5 | _:n6cbfed08619344b9abf64ea955bd0dc6xb5
8445733929,12,844-573-3929,_:n0053863bc8094b3f888c46b026055c3axb4 | _:nebb9f31efba74275948312e1f3e58622xb5 | _:n1937b28cbf744d588a52c4733a8c9508xb4 | _:nd68eb98ca7dd4fc1a28d11b21604212fxb5 | _:nf4ea7c50806c4490862297318564d186xb7
+12622435700,11,+1-262-243-5700,<http://www.cametex.com/> | <http://2.mscoastgeospatial.com> | <http://www.mscoastgeospatial.com> | <http://www.dinosaurgreen.com/> | <http://www.remitpai.com/>
+611800275278,11,+61 1800 275 278,_:n6b1624f368a045e887cc22c7397fc5b8xb0 | _:nd776af221aff4d18ae4d85238fb8d0e2xb0 | _:n68e928891ff043ae9661ab76dcebe119xb0 | _:n096ad22529794044ad72230e8b2266fdxb0 | _:nef3a47d5187b4608968b1c8e284a95fbxb0
+61242213218,11,+61 2 4221 3218,_:n6aa5918e23cb49d5b1ff498ef57dfe1bxb3 | _:n7de0aaea7d5b4bceac5de925ebaa4c32xb0 | _:nb21f9ffe28cb436798248dd9e1e28aaaxb0 | _:n8cbe1dbb6c134089a2f3507bb9ed86b8xb0 | _:n2ce61f88d7634ad58e63b8408ee2fc2exb0
